HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Avg_DY23_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
J9330,"Injection, temsirolimus, 1 mg",Temsirolimus*,Temsirolimus*,6689201.85,122139.0,4160,398,54.767124751,1607.9812139,16807.039824,0,4046048.43,100718.0,3342,328,40.172048988,1210.6667953,12335.513506,0,2719370.98,77560.0,2727,241,35.061513409,997.20241291,11283.697012,0,1868055.49,57541.0,1995,183,32.464772771,936.36866667,10207.953497,0,1562399.13,48784.0,1678,155,32.02687623,931.10794398,10079.994387,0,32.65425,-0.01348836,-0.125522459
J9059,"Injection, bendamustine hydrochloride (baxter), 1 mg",Bendamustine HCL (J9059),Bendamustine HCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553402.48,67852.0,407,122,22.893982197,3816.7137101,12732.807213,0,23.544,,
J2427,"Injection, paliperidone palmitate extended release (invega hafyera, or invega trinza), 1 mg",Invega Hafyera (J2427)*,Paliperidone Palmitate*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544001.8,134385.0,243,141,11.489390929,6353.9168724,10950.367376,0,12.1535,,
J9206,"Injection, irinotecan, 20 mg",Camptosar*,Irinotecan HCL*,2089321.6,776291.4,56502,8555,2.6914140747,36.977834413,244.22227937,0,1970760.82,772614.9,56071,8255,2.5507672969,35.14759537,238.73541127,0,1725327.38,708469.0,51729,7718,2.4352898715,33.353194146,223.54591604,0,1632554.07,680179.0,49107,7391,2.4001829959,33.244834138,220.88405764,0,1542096.55,646857.0,47158,7056,2.3839837089,32.700635099,218.55109836,0,2.41375,-0.006749188,-0.029868311
Q4160,"Nushield, per square centimeter","Nushield, per square centimeter",,16954771.31,98983.0,6838,1780,171.28972965,2479.4927333,9525.1524213,0,3712793.69,37976.0,2439,841,97.766844586,1522.2606355,4414.736849,0,3954298.44,41093.5,2878,930,96.226859236,1373.9744406,4251.9338065,0,2403125.28,26128.1,1743,554,91.974742901,1378.7293632,4337.7712635,0,1518497.94,16310.8,1139,376,93.097698457,1333.1851975,4038.5583511,0,94.8095,0.0122093905,-0.141378211
90714,Diphtheria and tetanus vaccine (7 years or older),Tdvax*,"Tetanus, Diphtheria Tox,adult*",1835695.71,79428.0,79428,79281,23.111443194,23.111443194,23.154295607,0,1706146.94,65798.5,65799,65700,25.929875909,25.92967887,25.968750989,0,1592124.46,61078.5,61078,60985,26.066855931,26.067069321,26.106820694,0,1654307.23,59414.0,59412,59316,27.843727573,27.844664883,27.88973009,0,1501910.56,52146.0,52145,52064,28.802028152,28.802580497,28.847390904,0,29.18425,0.034417108,0.056571766
J9266,"Injection, pegaspargase, per single dose vial",Oncaspar,Pegaspargase,1456060.96,114.0,95,46,12772.464561,15326.957474,31653.49913,0,1382236.68,86.0,72,42,16072.519535,19197.731667,32910.397143,0,1831045.57,102.0,88,43,17951.427157,20807.336023,42582.455116,0,1590703.54,73.0,61,35,21790.459452,26077.107213,45448.672571,0,1489273.13,62.0,59,29,24020.534355,25241.917458,51354.245862,0,24674.4835,0.1023418027,0.1710541824
Q4226,"Myown skin, includes harvesting and preparation procedures, per square centimeter","Myown skin, includes harvesting and preparation procedures, per square centimeter",,,,,,,,,,839954.2,1581.0,31,30,531.28032891,27095.296774,27998.473333,1,2662896.0,6615.0,104,91,402.55419501,25604.769231,29262.593407,0,597902.43,1501.0,35,30,398.33606262,17082.926571,19930.081,1,1476767.52,1381.0,55,50,1069.3465025,26850.318545,29535.3504,1,246.969,1.6845334954,0.2625974438
J9263,"Injection, oxaliplatin, 0.5 mg",Oxaliplatin,Oxaliplatin,3952720.66,25714533.8,79485,14756,0.1537154315,49.729139586,267.87209677,0,3323009.08,23908580.0,74411,13962,0.1389881407,44.657497951,238.00380175,0,2567585.38,22588639.5,70127,13363,0.1136671104,36.61336404,192.14138891,0,1355841.71,21346463.0,65920,12706,0.063515989,20.567987106,106.70877617,0,1474308.82,20800471.0,64707,12326,0.0708786267,22.784379124,119.60967224,0,0.07209796,0.1159178627,-0.175957793
J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",MethylprednIsolone Sodium Succ (J2930)*,MethylprednIsolone Sod Succ*,2272930.52,363601.7,263586,154629,6.2511548213,8.6231079041,14.69925124,0,1684293.71,271133.5,186448,97429,6.2120457634,9.0335842165,17.287396052,0,1487852.36,267476.8,183879,95003,5.5625473312,8.0914751549,15.661109228,0,1609867.76,280963.9,194495,105258,5.7298028679,8.2771678449,15.29449315,0,1469059.34,270487.8,190838,102416,5.431148244,7.6979392993,14.344041361,0,5.5315,-0.052123019,-0.034543189
